# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI),,
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.,,
#,,
#,,
# STN      LON(east)   LAT(north)     ALT(m)  NAME,,
# 242:         4.921       53.241      10.80  VLIELAND,,
#,,
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag);,,
# FXX      = Hoogste windstoot (in 0.1 m/s);,,
STN,YYYYMMDD,FXX
242,20180101,240
242,20180102,190
242,20180103,340
242,20180104,250
242,20180105,240
242,20180106,150
242,20180107,150
242,20180108,170
242,20180109,120
242,20180110,80
242,20180111,60
242,20180112,70
242,20180113,110
242,20180114,120
242,20180115,210
242,20180116,210
242,20180117,260
242,20180118,310
242,20180119,150
242,20180120,140
242,20180121,190
242,20180122,170
242,20180123,220
242,20180124,300
242,20180125,150
242,20180126,80
242,20180127,210
242,20180128,190
242,20180129,190
242,20180130,120
242,20180131,210
242,20180201,180
242,20180202,150
242,20180203,120
242,20180204,170
242,20180205,110
242,20180206,80
242,20180207,80
242,20180208,110
242,20180209,140
242,20180210,160
242,20180211,230
242,20180212,220
242,20180213,130
242,20180214,180
242,20180215,200
242,20180216,130
242,20180217,60
242,20180218,80
242,20180219,80
242,20180220,70
242,20180221,80
242,20180222,80
242,20180223,130
242,20180224,140
242,20180225,130
242,20180226,120
242,20180227,140
242,20180228,200
242,20180301,240
242,20180302,210
242,20180303,150
242,20180304,130
242,20180305,150
242,20180306,80
242,20180307,70
242,20180308,200
242,20180309,110
242,20180310,130
242,20180311,200
242,20180312,90
242,20180313,110
242,20180314,150
242,20180315,180
242,20180316,190
242,20180317,240
242,20180318,220
242,20180319,160
242,20180320,120
242,20180321,140
242,20180322,130
242,20180323,190
242,20180324,70
242,20180325,60
242,20180326,60
242,20180327,110
242,20180328,120
242,20180329,120
242,20180330,120
242,20180331,100
242,20180401,70
242,20180402,130
242,20180403,180
242,20180404,140
242,20180405,210
242,20180406,130
242,20180407,90
242,20180408,80
242,20180409,140
242,20180410,150
242,20180411,150
242,20180412,150
242,20180413,120
242,20180414,80
242,20180415,70
242,20180416,160
242,20180417,140
242,20180418,80
242,20180419,90
242,20180420,80
242,20180421,110
242,20180422,120
242,20180423,140
