Entity,Code,Year,Pigs,Cattle,Sheep,Turkeys,Chickens,Goat
Afghanistan,AFG,1961,,360000,4336000,,7000000,940000
Afghanistan,AFG,1962,,384000,4355000,,7500000,875000
Afghanistan,AFG,1963,,396000,4673000,,7700000,810000
Afghanistan,AFG,1964,,402000,5010000,,8000000,750000
Afghanistan,AFG,1965,,408000,5179000,,8500000,875000
Afghanistan,AFG,1966,,569600,5366000,,9000000,1130000
Afghanistan,AFG,1967,,544000,5700000,,9500000,1562500
Afghanistan,AFG,1968,,595300,6500000,,10000000,1562500
Afghanistan,AFG,1969,,628300,6120000,,12000000,1562500
Afghanistan,AFG,1970,,653000,6300000,,12000000,1400000
Afghanistan,AFG,1971,,653000,6200000,,12000000,1562500
Afghanistan,AFG,1972,,643200,5360000,,12000000,1000000
Afghanistan,AFG,1973,,563200,5660000,,12500000,1350000
Afghanistan,AFG,1974,,520300,6140000,,12500000,1350000
Afghanistan,AFG,1975,,511500,6270000,,13000000,1500000
Afghanistan,AFG,1976,,523500,7800000,,13000000,1500000
Afghanistan,AFG,1977,,541000,7750000,,13500000,1020000
Afghanistan,AFG,1978,,557000,8000000,,14000000,1020000
Afghanistan,AFG,1979,,590000,7750000,,15000000,1080000
Afghanistan,AFG,1980,,560000,8000000,,15000000,1380000
Afghanistan,AFG,1981,,560000,8300000,,15500000,1500000
Afghanistan,AFG,1982,,560000,8380000,,15500000,1560000
Afghanistan,AFG,1983,,550000,7813000,,15700000,1497000
Afghanistan,AFG,1984,,545000,7187000,,16000000,1437000
Afghanistan,AFG,1985,,540000,6560000,,16200000,1000000
Afghanistan,AFG,1986,,535000,5938000,,16400000,900000
Afghanistan,AFG,1987,,550000,6250000,,16200000,1060000
Afghanistan,AFG,1988,,560000,6563000,,16000000,1220000
Afghanistan,AFG,1989,,560000,6875000,,15700000,1380000
Afghanistan,AFG,1990,,480000,7187000,,15500000,1540000
Afghanistan,AFG,1991,,480000,7200000,,15200000,1700000
Afghanistan,AFG,1992,,480000,6800000,,15000000,1860000
Afghanistan,AFG,1993,,540000,6600000,,14800000,2000000
Afghanistan,AFG,1994,,630000,6600000,,14500000,2200000
Afghanistan,AFG,1995,,722000,6400000,,15400000,2400000
Afghanistan,AFG,1996,,794000,7100000,,16300000,2400000
Afghanistan,AFG,1997,,866000,7700000,,17500000,2800000
Afghanistan,AFG,1998,,950000,8200000,,18800000,3300000
Afghanistan,AFG,1999,,828000,9000000,,17500000,3700000
Afghanistan,AFG,2000,,700000,7600000,,16500000,3700000
Afghanistan,AFG,2001,,600000,7100000,,16400000,2500000
Afghanistan,AFG,2002,,833000,4500000,,30000000,3600000
Afghanistan,AFG,2003,,761000,4600000,,35500000,3700000
Afghanistan,AFG,2004,,829000,5100000,,38500000,3800000
Afghanistan,AFG,2005,,784000,5500000,,40400000,3500000
Afghanistan,AFG,2006,,651700,4700000,,30500000,3400000
Afghanistan,AFG,2007,,761100,4110000,,22000000,2700000
Afghanistan,AFG,2008,,739000,5430000,,26000000,3200000
Afghanistan,AFG,2009,,750000,6230000,,25000000,2900000
Afghanistan,AFG,2010,,727800,7100000,,35000000,3400000
Afghanistan,AFG,2011,,766700,7220000,,32000000,3500000
Afghanistan,AFG,2012,,772000,6940000,,31000000,3400000
Afghanistan,AFG,2013,,744500,6625000,,33000000,3400000
Afghanistan,AFG,2014,,737044,6184941,,34197000,3418807
Africa,,1961,3835586,13234469,37209769,1425000,358405000,28149963
Africa,,1962,3987514,13352172,37692188,1510000,372999000,28839824
Africa,,1963,4070344,13446035,37941638,1585000,386697000,28479713
Africa,,1964,4313906,13876142,39516510,1670000,409381000,29039973
Africa,,1965,4536320,14132494,40664599,1756000,428228000,30173704
Africa,,1966,4723078,14825209,42342568,1896000,453648000,30913404
Africa,,1967,4803676,14970980,43350909,1917000,481029000,31614464
Africa,,1968,5183896,15529364,44701160,2072000,508385000,32523803
Africa,,1969,5552211,15883805,46860808,2233000,546194000,33160629
Africa,,1970,5612991,16278810,45567490,2383000,578997000,34092259
Africa,,1971,5791367,16325125,47063582,2536000,604742000,34412741
Africa,,1972,6276989,16627175,46720778,2689000,645472000,34919434
Africa,,1973,6519707,17503070,46421894,2842000,681464000,34321642
Africa,,1974,6433929,17645750,45651622,2575000,713824000,35208864
Africa,,1975,6595802,16976124,47342625,2727000,755477000,35668035
Africa,,1976,6945474,17641025,48878536,2590000,816202000,36323363
Africa,,1977,7152123,18606919,50712635,2595000,861060000,38367194
Africa,,1978,7226540,19726379,52964864,2956000,903591000,40452221
Africa,,1979,7243149,20128474,53467920,3045000,948340000,41887850
Africa,,1980,7485157,20574181,56321897,2646000,994740000,42604772
Africa,,1981,7886429,20067064,58490770,2800000,1061421000,42183762
Africa,,1982,8083577,20697767,57075627,2750000,1128716000,43134077
Africa,,1983,8165452,21293580,57397755,2754000,1232755000,44354674
Africa,,1984,8489432,21607562,58223619,3030000,1330374000,44709095
Africa,,1985,8968720,21705816,58883906,3693000,1369734000,45267115
Africa,,1986,9719802,22287891,55721839,4032000,1455117000,46866315
Africa,,1987,10435820,21518697,60378179,3857000,1546832000,50071514
Africa,,1988,10912210,21977746,63081683,4210000,1561975000,52447935
Africa,,1989,11998683,22048568,65833866,4652000,1626838000,54882199
Africa,,1990,13027717,23006121,66467954,8368000,1770095000,55845790
Africa,,1991,12971362,23838815,66964607,8678000,1761069000,57557865
Africa,,1992,13481777,24099349,68260478,10066000,1783699000,58551818
Africa,,1993,13570162,24643075,65368138,10579000,1777871000,56034961
Africa,,1994,13852466,24423723,67676545,11344000,1855154000,58265868
Africa,,1995,14817548,24467231,69815100,10710000,1970688000,61547954
Africa,,1996,14859580,24652646,71095017,11125000,2040417000,63953882
Africa,,1997,15211328,25351837,73863999,11922000,2177944000,67201810
Africa,,1998,15149459,26512733,78625848,12524000,2205381000,70461839
Africa,,1999,15456430,27616427,84177034,13191000,2329243000,74840576
Africa,,2000,15532218,28278941,87487067,14712000,2383949000,77138180
Africa,,2001,16000315,27288752,89124180,15245000,2539750000,81082059
Africa,,2002,16713952,28629160,89836992,13980000,2630551000,84397388
Africa,,2003,16265588,28918231,91368133,14884000,2655674000,86802202
Africa,,2004,17561112,29243746,93863530,17595000,2711432000,89663617
Africa,,2005,18579554,30391708,97120209,18462000,2761115000,92597415
Africa,,2006,18988293,31024471,105049199,17833000,2890899000,98450098
Africa,,2007,20214037,31264969,105928525,22577000,3172370000,101843236
Africa,,2008,21452745,32715945,107773194,25201000,3357460000,105233559
Africa,,2009,21602016,33158155,110283985,27151000,3567261000,108476263
Africa,,2010,22241899,34187934,114907488,29501000,3811500000,110615078
Africa,,2011,23445556,35400596,112591745,28468000,3919307000,113356640
Africa,,2012,24853602,36467444,116980483,32094000,4028757000,113185277
Africa,,2013,26138199,37903452,119924683,31579000,4060845000,114536591
Africa,,2014,27171394,38612014,121930163,33142000,4160322000,115608000
Albania,ALB,1961,59700,88806,885776,,1568000,427293
Albania,ALB,1962,61000,91012,860000,,1615000,440000
Albania,ALB,1963,53300,92000,860000,,1769000,400000
Albania,ALB,1964,53300,74000,865000,,1923000,400000
Albania,ALB,1965,61000,80000,870000,,2446000,430000
Albania,ALB,1966,71700,84000,855000,,2988000,426000
Albania,ALB,1967,81300,102500,1080000,,3108000,538000
Albania,ALB,1968,92800,90000,995000,,3236000,426000
Albania,ALB,1969,101700,108000,850000,,3444000,374000
Albania,ALB,1970,104700,120000,860000,,3498000,318000
Albania,ALB,1971,107300,130000,800000,,3898000,301500
Albania,ALB,1972,109300,129000,830000,,4000000,280000
Albania,ALB,1973,102700,127300,830000,,4400000,284000
Albania,ALB,1974,106700,132000,884000,,4900000,288000
Albania,ALB,1975,106700,120000,896000,,5500000,300000
Albania,ALB,1976,110000,148700,908000,,6000000,308000
Albania,ALB,1977,113300,136000,920000,,6500000,300000
Albania,ALB,1978,113300,163000,925000,,7000000,300000
Albania,ALB,1979,113300,170700,870000,,7500000,300000
Albania,ALB,1980,112900,174000,890000,,7900000,332000
Albania,ALB,1981,141900,177000,900000,,8400000,332000
Albania,ALB,1982,141900,178000,927000,,8900000,332000
Albania,ALB,1983,141900,183000,933000,,9000000,332000
Albania,ALB,1984,154800,181000,935000,,9750000,332000
Albania,ALB,1985,165000,204000,930000,,10000000,332000
Albania,ALB,1986,177800,190000,900000,,10100000,332000
Albania,ALB,1987,177800,180000,900000,,10200000,360000
Albania,ALB,1988,190000,185000,920000,,9900000,370000
Albania,ALB,1989,190000,200000,990000,,10900000,391000
Albania,ALB,1990,204600,182000,950000,,10800000,377000
Albania,ALB,1991,138500,190000,820000,,7895000,406000
Albania,ALB,1992,163000,210000,940000,,3133000,587000
Albania,ALB,1993,192000,230000,960000,,4135000,610000
Albania,ALB,1994,208000,260000,1200000,,4637000,812500
Albania,ALB,1995,210000,280000,1480000,,4887000,437500
Albania,ALB,1996,98000,315000,1175000,,4386000,606250
Albania,ALB,1997,102000,300000,1130000,,4637000,550000
Albania,ALB,1998,100000,304000,1120000,,6391000,687500
Albania,ALB,1999,95000,320000,1170000,,6266000,800000
